;;;PT. Dream Dare Discover;;;;;;;;;;
;;;Kuantitas Barang per Gudang;;;;;;;;;;
;;;Per Tgl. 19 Jan 2026;;;;;;;;;;
;;;"Cabang : Kantor Pusat, BALI AREA, Baby, Jakarta, Jawa Timur, Lombok, NTT, Online, Sulawesi, Sumatera, Gudang : Warehouse Bali ...";;;;;;;;;;
Nama Barang;;Kode Barang;;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protol;Warehouse Bali Gatsu Reject;Warehouse Pluit;Warehouse Pluit Reject;Warehouse Pusat;Warehouse Pusat Protol;Warehouse Pusat Reject;;Total Nama Gudang
"BABY COCOMELON 3, 21/22, BLUE YELLOW";;Z2CM03Z22;;0;0;0;12;0;0;0;0;;12
"BABY COCOMELON 3, 23/24, BLUE YELLOW";;Z2CM03Z24;;0;1;0;13;0;0;0;0;;14
"BABY COCOMELON 3, 25/26, BLUE YELLOW";;Z2CM03Z26;;0;1;0;9;0;0;0;0;;10
"BABY COLLAB GIRLS ZUMA X HELKITY, PINK 21/22, PINK";;BGCO2B0HKP01;;0;0;0;0;0;0;0;0;;0
"BABY COLLAB GIRLS ZUMA X HELKITY, PINK 23/24, PINK";;BGCO2B0HKP02;;0;0;0;0;0;0;0;0;;0
"BABY COLLAB GIRLS ZUMA X HELKITY, PINK 25/26, PINK";;BGCO2B0HKP03;;0;0;0;0;0;0;0;0;;0
"BABY COLLAB GIRLS ZUMA X HELKITY, TOSCA 21/22, TOSCA";;BGCO2B0HKT01;;0;0;0;0;0;0;0;0;;0
"BABY COLLAB GIRLS ZUMA X HELKITY, TOSCA 23/24, TOSCA";;BGCO2B0HKT02;;0;0;0;0;0;0;0;0;;0
"BABY COLLAB GIRLS ZUMA X HELKITY, TOSCA 25/26, TOSCA";;BGCO2B0HKT03;;0;0;0;0;0;0;0;0;;0
"BABY DISNEY MICKEY 1, 21/22, RED";;Z2DM01Z22;;0;4;0;6;0;0;11;9;;30
"BABY DISNEY MICKEY 1, 23/24, RED";;Z2DM01Z24;;0;11;0;32;0;0;9;7;;59
"BABY DISNEY MICKEY 1, 25/26, RED";;Z2DM01Z26;;0;0;0;3;0;0;2;1;;6
"BABY DISNEY MICKEY 2, 21/22, NAVY";;Z2DM02Z22;;132;0;0;23;0;-284;14;0;;-115
"BABY DISNEY MICKEY 2, 23/24, NAVY";;Z2DM02Z24;;165;3;0;35;0;-355;20;2;;-130
"BABY DISNEY MICKEY 2, 25/26, NAVY";;Z2DM02Z26;;99;0;0;18;0;-213;3;0;;-93
"BABY DISNEY MILTON 1, 21/22, ALL BLACK";;Z2MT01Z22;;116;0;0;28;0;492;4;0;;640
"BABY DISNEY MILTON 1, 23/24, ALL BLACK";;Z2MT01Z24;;145;0;0;36;0;615;4;0;;800
"BABY DISNEY MILTON 1, 25/26, ALL BLACK";;Z2MT01Z26;;87;0;0;20;0;369;1;0;;477
"BABY DISNEY MILTON 2, 21/22, OLIVE";;Z2MT02Z22;;156;0;0;32;0;472;3;0;;663
"BABY DISNEY MILTON 2, 23/24, OLIVE";;Z2MT02Z24;;195;0;0;41;0;590;4;0;;830
"BABY DISNEY MILTON 2, 25/26, OLIVE";;Z2MT02Z26;;117;0;0;23;0;354;2;0;;496
"BABY DISNEY MILTON 3, 21/22, CAMEL";;Z2MT03Z22;;156;0;0;28;0;444;6;0;;634
"BABY DISNEY MILTON 3, 23/24, CAMEL";;Z2MT03Z24;;195;1;0;36;0;555;8;1;;796
"BABY DISNEY MILTON 3, 25/26, CAMEL";;Z2MT03Z26;;117;0;0;20;0;333;1;0;;471
"BABY DISNEY MINNIE 1, 21/22, LAVENDER";;Z2DI01Z22;;128;0;0;32;0;-176;13;1;;-2
"BABY DISNEY MINNIE 1, 23/24, LAVENDER";;Z2DI01Z24;;160;7;0;45;0;-220;31;4;;27
"BABY DISNEY MINNIE 1, 25/26, LAVENDER";;Z2DI01Z26;;96;0;0;27;0;-132;2;0;;-7
"BABY DISNEY MINNIE 2, 21/22, BLUSH NUDE";;Z2DI02Z22;;36;0;0;50;0;-4;6;0;;88
"BABY DISNEY MINNIE 2, 23/24, BLUSH NUDE";;Z2DI02Z24;;45;6;0;94;0;-5;22;0;;162
"BABY DISNEY MINNIE 2, 25/26, BLUSH NUDE";;Z2DI02Z26;;27;2;0;39;0;-3;7;0;;72
"BABY DISNEY OXFORD 1, 21/22, COFFEE";;Z2OX01Z22;;132;0;0;32;0;332;3;0;;499
"BABY DISNEY OXFORD 1, 23/24, COFFEE";;Z2OX01Z24;;165;0;0;40;0;415;5;0;;625
"BABY DISNEY OXFORD 1, 25/26, COFFEE";;Z2OX01Z26;;99;0;0;24;0;249;3;0;;375
"BABY DISNEY OXFORD 2, 21/22, NAVY";;Z2OX02Z22;;156;0;0;28;0;368;4;0;;556
"BABY DISNEY OXFORD 2, 23/24, NAVY";;Z2OX02Z24;;195;0;0;35;0;460;3;0;;693
"BABY DISNEY OXFORD 2, 25/26, NAVY";;Z2OX02Z26;;117;0;0;21;0;276;1;0;;415
"BABY DISNEY OXFORD 3, 21/22, BEIGE";;Z2OX03Z22;;172;0;0;28;0;284;4;0;;488
"BABY DISNEY OXFORD 3, 23/24, BEIGE";;Z2OX03Z24;;215;0;0;35;0;355;4;0;;609
"BABY DISNEY OXFORD 3, 25/26, BEIGE";;Z2OX03Z26;;129;0;0;21;0;213;5;0;;368
"BABY GIRLS CLASSIC 3, 21/22, CANDY PINK";;Z2CA03Z21;;0;0;0;1;0;0;0;3;;4
;;Z2CAV103Z21;;0;0;0;36;0;-20;13;0;;29
"BABY GIRLS CLASSIC 3, 21/22, PASTEL LILAC";;BG2CA03Z21;;0;0;0;0;0;0;0;0;;0
"BABY GIRLS CLASSIC 3, 23/24, CANDY PINK";;Z2CA03Z23;;0;5;0;24;0;0;5;3;;37
;;Z2CAV103Z23;;0;1;0;70;0;-25;20;0;;66
"BABY GIRLS CLASSIC 3, 25/26, CANDY PINK";;Z2CA03Z25;;0;0;0;1;0;0;0;2;;3
;;Z2CAV103Z25;;0;1;0;28;0;-15;2;0;;16
"BABY GIRLS CLASSIC 3, 25/26, PASTEL LILAC";;BG2CA03Z25;;0;0;0;0;0;0;0;0;;0
"BABY GIRLS CLASSIC 4, 21/22, CANDY PINK";;BG2CA04Z21;;0;0;0;0;0;0;0;0;;0
"BABY GIRLS CLASSIC 4, 23/24, CANDY PINK";;BG2CA04Z23;;0;0;0;0;0;0;2;6;;8
"BABY GIRLS CLASSIC 4, 25/26, CANDY PINK";;BG2CA04Z25;;0;0;0;0;0;0;2;3;;5
"BABY GIRLS COLLAB 1, 21, DISNEY MICKEY & FRIENDS PINK";;Z1MF01Z21;;0;0;0;0;0;0;0;0;;0
"BABY GIRLS COLLAB 1, 21/22, DISNEY MICKEY & FRIENDS PINK";;Z2MF01Z21;;0;0;0;36;0;23;17;5;;81
"BABY GIRLS COLLAB 1, 21/22, DISNEY MINNIE PINK";;SJ2B03CL1;;0;0;0;0;0;0;0;7;;7
"BABY GIRLS COLLAB 1, 21/22, PINK";;Z2GC01Z21;;0;4;2;-2;0;396;47;42;;489
"BABY GIRLS COLLAB 1, 22, DISNEY MICKEY & FRIENDS PINK";;Z1MF01Z22;;0;0;0;0;0;0;2;2;;4
"BABY GIRLS COLLAB 1, 23, DISNEY MICKEY & FRIENDS PINK";;Z1MF01Z23;;0;0;0;0;0;0;0;1;;1
"BABY GIRLS COLLAB 1, 23/24, DISNEY MICKEY & FRIENDS PINK";;Z2MF01Z23;;0;1;0;68;0;-45;46;7;;77
"BABY GIRLS COLLAB 1, 23/24, DISNEY MINNIE PINK";;SJ2B04CL1;;0;0;0;0;0;0;0;6;;6
"BABY GIRLS COLLAB 1, 23/24, PINK";;Z2GC01Z23;;0;5;3;4;0;495;52;42;;601
"BABY GIRLS COLLAB 1, 24, DISNEY MICKEY & FRIENDS PINK";;Z1MF01Z24;;0;0;0;0;0;0;0;1;;1
"BABY GIRLS COLLAB 1, 25, DISNEY MICKEY & FRIENDS PINK";;Z1MF01Z25;;0;0;0;0;0;0;0;1;;1
"BABY GIRLS COLLAB 1, 25/26, DISNEY MICKEY & FRIENDS PINK";;Z2MF01Z25;;0;0;0;36;0;-33;10;1;;14
"BABY GIRLS COLLAB 1, 25/26, DISNEY MINNIE PINK";;SJ2B05CL1;;0;0;0;0;0;0;0;8;;8
"BABY GIRLS COLLAB 1, 25/26, PINK";;Z2GC01Z25;;0;3;0;19;0;297;28;18;;365
"BABY GIRLS COLLAB 2, 21/22, DISNEY MINNIE TURQUOISE";;SJ2B03CL2;;0;0;0;0;0;0;0;0;;0
"BABY GIRLS COLLAB 2, 23/24, DISNEY MINNIE TURQUOISE";;SJ2B04CL2;;0;0;0;0;0;0;0;0;;0
"BABY GIRLS COLLAB 2, 25/26, DISNEY MINNIE TURQUOISE";;SJ2B05CL2;;0;0;0;0;0;0;0;6;;6
"BABY GIRLS COLLAB 3, 21, DISNEY MICKEY & FRIENDS PINK";;BG1CL03Z21;;0;0;0;0;0;0;0;1;;1
"BABY GIRLS COLLAB 3, 22, DISNEY MICKEY & FRIENDS PINK";;BG1CL03Z22;;0;0;0;0;0;0;0;0;;0
"BABY GIRLS COLLAB 3, 23, DISNEY MICKEY & FRIENDS PINK";;BG1CL03Z23;;0;0;0;0;0;0;0;0;;0
"BABY GIRLS COLLAB 3, 24, DISNEY MICKEY & FRIENDS PINK";;BG1CL03Z24;;0;0;0;0;0;0;0;0;;0
"BABY GIRLS COLLAB 3, 25, DISNEY MICKEY & FRIENDS PINK";;BG1CL03Z25;;0;0;0;0;0;0;0;0;;0
"BABY GIRLS HELLO KITTY 1, 21 , PINK";;BB2BZ21HK1;;0;0;0;0;0;0;0;35;;35
"BABY GIRLS HELLO KITTY 1, 22 , PINK";;BB2BZ22HK1;;0;0;0;0;0;0;0;45;;45
"BABY GIRLS HELLO KITTY 1, 23 , PINK";;BB2BZ23HK1;;0;0;0;0;0;0;0;25;;25
"BABY GIRLS HELLO KITTY 1, 24 , PINK";;BB2BZ24HK1;;0;0;0;0;0;0;0;19;;19
"BABY GIRLS HELLO KITTY 1, 25 , PINK";;BB2BZ25HK1;;0;0;0;0;0;0;0;3;;3
"BABY GIRLS HELLO KITTY 2, 21 , TOSCA";;BB2BZ21HK2;;0;0;0;0;0;0;0;17;;17
"BABY GIRLS HELLO KITTY 2, 22 , TOSCA";;BB2BZ22HK2;;0;0;0;0;0;0;0;2;;2
"BABY GIRLS HELLO KITTY 2, 23 , TOSCA";;BB2BZ23HK2;;0;0;0;0;0;0;0;22;;22
"BABY GIRLS HELLO KITTY 2, 24 , TOSCA";;BB2BZ24HK2;;0;0;0;0;0;0;0;7;;7
"BABY GIRLS HELLO KITTY 2, 25 , TOSCA";;BB2BZ25HK2;;0;0;0;0;0;0;0;4;;4
"BABY GIRLS PRINCESS ARIEL 3, 21/22, GREEN";;Z2PS03Z22;;0;0;2;-2;0;-11;79;21;;89
"BABY GIRLS PRINCESS ARIEL 3, 23/24, GREEN";;Z2PS03Z24;;0;0;0;16;0;-10;50;12;;68
