;;;PT. Dream Dare Discover;;;;;;;;;;
;;;Kuantitas Barang per Gudang;;;;;;;;;;
;;;Per Tgl. 19 Jan 2026;;;;;;;;;;
;;;"Cabang : Kantor Pusat, BALI AREA, Baby, Jakarta, Jawa Timur, Lombok, NTT, Online, Sulawesi, Sumatera, Gudang : Warehouse Bali ...";;;;;;;;;;
Nama Barang;;Kode Barang;;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protol;Warehouse Bali Gatsu Reject;Warehouse Pluit;Warehouse Pluit Reject;Warehouse Pusat;Warehouse Pusat Protol;Warehouse Pusat Reject;;Total Nama Gudang
"LADIES PILLOW 9, 41, TURQUOISE0MINT";;SJ2A41PL9;;0;0;0;0;0;0;0;1;;1
"LADIES PILLOW 9, 41/42, TURQUOISE0MINT";;SJ2A05PL9;;0;0;0;0;0;0;0;2;;2
"LADIES SLIDE PUFFY 1, 36, BLACK";;L1SPV101Z36;;0;0;0;0;0;0;0;0;;0
;;L1SPV201Z36;;73;0;0;5;0;142;1;0;;221
"LADIES SLIDE PUFFY 1, 37, BLACK";;L1SPV101Z37;;0;0;0;0;0;0;0;0;;0
;;L1SPV201Z37;;73;0;0;5;0;142;0;0;;220
"LADIES SLIDE PUFFY 1, 38, BLACK";;L1SPV101Z38;;0;0;0;0;0;0;3;1;;4
;;L1SPV201Z38;;222;5;0;15;0;426;2;0;;670
"LADIES SLIDE PUFFY 1, 39, BLACK";;L1SPV101Z39;;0;0;0;0;0;0;3;0;;3
;;L1SPV201Z39;;297;16;0;20;0;568;4;1;;906
"LADIES SLIDE PUFFY 1, 40, BLACK";;L1SPV101Z40;;0;0;0;0;0;0;0;0;;0
;;L1SPV201Z40;;148;0;0;10;0;284;2;0;;444
"LADIES SLIDE PUFFY 1, 41, BLACK";;L1SPV101Z41;;0;0;0;0;0;0;2;0;;2
;;L1SPV201Z41;;75;0;0;5;0;142;1;0;;223
"LADIES SLIDE PUFFY 10, 36, GOLD";;L1SPV210Z36;;8;0;0;2;0;0;0;0;;10
"LADIES SLIDE PUFFY 10, 37, GOLD";;L1SPV210Z37;;8;0;0;2;0;0;0;0;;10
"LADIES SLIDE PUFFY 10, 38, GOLD";;L1SPV210Z38;;12;0;0;3;0;0;0;0;;15
"LADIES SLIDE PUFFY 10, 39, GOLD";;L1SPV210Z39;;12;0;0;3;0;0;0;0;;15
"LADIES SLIDE PUFFY 10, 40, GOLD";;L1SPV210Z40;;8;0;0;2;0;0;0;0;;10
"LADIES SLIDE PUFFY 2, 36, REDWOOD";;L1SPV102Z36;;0;0;0;1;0;0;0;1;;2
;;L1SPV202Z36;;0;0;0;8;0;0;0;0;;8
"LADIES SLIDE PUFFY 2, 37, REDWOOD";;L1SPV102Z37;;0;0;0;0;0;0;0;1;;1
;;L1SPV202Z37;;0;0;1;8;0;0;0;0;;9
"LADIES SLIDE PUFFY 2, 38, REDWOOD";;L1SPV102Z38;;0;0;0;1;0;0;0;0;;1
;;L1SPV202Z38;;0;0;0;10;0;0;4;1;;15
"LADIES SLIDE PUFFY 2, 39, REDWOOD";;L1SPV102Z39;;0;0;0;2;0;0;2;0;;4
;;L1SPV202Z39;;0;0;1;9;0;0;5;0;;15
"LADIES SLIDE PUFFY 2, 40, REDWOOD";;L1SPV102Z40;;0;0;0;1;0;0;0;0;;1
;;L1SPV202Z40;;0;0;0;5;0;0;0;0;;5
"LADIES SLIDE PUFFY 3, 36, SILVER";;L1SPV103Z36;;0;0;0;0;0;0;0;6;;6
"LADIES SLIDE PUFFY 3, 37, SILVER";;L1SPV103Z37;;0;0;0;0;0;0;0;1;;1
"LADIES SLIDE PUFFY 3, 38, SILVER";;L1SPV103Z38;;0;0;0;0;0;0;0;6;;6
"LADIES SLIDE PUFFY 3, 39, SILVER";;L1SPV103Z39;;0;0;0;0;0;0;0;3;;3
"LADIES SLIDE PUFFY 3, 40, SILVER";;L1SPV103Z40;;0;0;0;0;0;0;0;2;;2
"LADIES SLIDE PUFFY 4, 36, NAVY";;L1SPV104Z36;;0;0;0;0;0;0;0;0;;0
;;L1SPV204Z36;;80;4;0;7;0;4;0;0;;95
"LADIES SLIDE PUFFY 4, 37, NAVY";;L1SPV104Z37;;0;0;0;0;0;0;0;0;;0
;;L1SPV204Z37;;80;0;0;7;0;4;0;0;;91
"LADIES SLIDE PUFFY 4, 38, NAVY";;L1SPV104Z38;;0;0;0;0;0;0;0;0;;0
;;L1SPV204Z38;;120;0;0;14;0;6;0;0;;140
"LADIES SLIDE PUFFY 4, 39, NAVY";;L1SPV104Z39;;0;0;0;0;0;0;1;1;;2
;;L1SPV204Z39;;120;0;0;12;0;6;0;1;;139
"LADIES SLIDE PUFFY 4, 40, NAVY";;L1SPV104Z40;;0;0;0;0;0;0;0;0;;0
;;L1SPV204Z40;;80;0;0;9;0;4;0;1;;94
"LADIES SLIDE PUFFY 5, 36, OTTER";;L1SPV105Z36;;0;0;0;0;0;0;0;0;;0
;;L1SPV205Z36;;0;0;0;4;0;0;0;0;;4
"LADIES SLIDE PUFFY 5, 37, OTTER";;L1SPV105Z37;;0;0;0;0;0;0;0;0;;0
;;L1SPV205Z37;;0;0;0;4;0;0;0;0;;4
"LADIES SLIDE PUFFY 5, 38, OTTER";;L1SPV105Z38;;0;0;0;0;0;0;0;0;;0
;;L1SPV205Z38;;0;0;0;6;0;0;0;0;;6
"LADIES SLIDE PUFFY 5, 39, OTTER";;L1SPV105Z39;;0;0;0;0;0;0;1;0;;1
;;L1SPV205Z39;;0;0;0;6;0;0;0;0;;6
"LADIES SLIDE PUFFY 5, 40, OTTER";;L1SPV105Z40;;0;0;0;0;0;0;0;0;;0
;;L1SPV205Z40;;0;0;0;4;0;0;0;0;;4
"LADIES SLIDE PUFFY 6, 36, MINT";;L1SPV206Z36;;0;0;0;0;0;0;0;1;;1
"LADIES SLIDE PUFFY 6, 37, MINT";;L1SPV206Z37;;0;0;0;0;0;0;0;0;;0
"LADIES SLIDE PUFFY 6, 38, MINT";;L1SPV206Z38;;0;0;0;0;0;0;0;0;;0
"LADIES SLIDE PUFFY 6, 39, MINT";;L1SPV206Z39;;0;0;0;0;0;0;0;1;;1
"LADIES SLIDE PUFFY 6, 40, MINT";;L1SPV206Z40;;0;0;0;0;0;0;0;0;;0
"LADIES SLIDE PUFFY 7, 36, LATTE";;L1SPV207Z36;;0;0;0;2;0;0;0;0;;2
"LADIES SLIDE PUFFY 7, 37, LATTE";;L1SPV207Z37;;0;0;0;2;0;0;0;0;;2
"LADIES SLIDE PUFFY 7, 38, LATTE";;L1SPV207Z38;;0;0;0;3;0;0;0;0;;3
"LADIES SLIDE PUFFY 7, 39, LATTE";;L1SPV207Z39;;0;0;0;3;0;0;0;1;;4
"LADIES SLIDE PUFFY 7, 40, LATTE";;L1SPV207Z40;;0;0;0;2;0;0;0;0;;2
"LADIES SLIDE PUFFY 8, 36, BRONZE";;L1SPV208Z36;;4;1;0;4;0;-1;5;1;;14
"LADIES SLIDE PUFFY 8, 37, BRONZE";;L1SPV208Z37;;4;0;0;4;0;0;4;0;;12
"LADIES SLIDE PUFFY 8, 38, BRONZE";;L1SPV208Z38;;6;1;0;6;0;0;4;2;;19
"LADIES SLIDE PUFFY 8, 39, BRONZE";;L1SPV208Z39;;6;1;0;6;0;0;5;0;;18
"LADIES SLIDE PUFFY 8, 40, BRONZE";;L1SPV208Z40;;4;0;0;4;0;0;4;1;;13
"LADIES SLIDE PUFFY 9, 36, BOTANICAL GREEN";;L1SPV209Z36;;52;0;0;8;0;18;4;0;;82
"LADIES SLIDE PUFFY 9, 37, BOTANICAL GREEN";;L1SPV209Z37;;52;1;0;8;0;18;4;0;;83
"LADIES SLIDE PUFFY 9, 38, BOTANICAL GREEN";;L1SPV209Z38;;78;2;0;12;0;27;6;0;;125
"LADIES SLIDE PUFFY 9, 39, BOTANICAL GREEN";;L1SPV209Z39;;78;0;0;12;0;27;6;0;;123
"LADIES SLIDE PUFFY 9, 40, BOTANICAL GREEN";;L1SPV209Z40;;52;0;1;8;0;18;4;1;;84
"LADIES STITCH 1, 36, NAVY";;L1SH01Z36;;0;0;0;0;0;148;0;0;;148
"LADIES STITCH 1, 37, NAVY";;L1SH01Z37;;0;0;0;0;0;222;0;0;;222
"LADIES STITCH 1, 38, NAVY";;L1SH01Z38;;0;0;0;0;0;222;0;0;;222
"LADIES STITCH 1, 39, NAVY";;L1SH01Z39;;0;0;0;0;0;148;0;0;;148
"LADIES STITCH 1, 40, NAVY";;L1SH01Z40;;0;0;0;0;0;148;0;0;;148
"LADIES STITCH 2, 36, PINK";;L1SH02Z36;;60;0;0;0;0;86;2;0;;148
"LADIES STITCH 2, 37, PINK";;L1SH02Z37;;90;0;0;0;0;129;2;0;;221
"LADIES STITCH 2, 38, PINK";;L1SH02Z38;;90;0;0;0;0;129;1;0;;220
"LADIES STITCH 2, 39, PINK";;L1SH02Z39;;60;0;0;0;0;86;1;0;;147
"LADIES STITCH 2, 40, PINK";;L1SH02Z40;;60;0;0;0;0;86;2;0;;148
"LADIES STRAPPY 1, 35/36, JET BLACK";;SJ2A02ST1;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 1, 36, JET BLACK";;L2A36ST1;;0;0;0;0;0;0;0;0;;0
;;L2AZ36ST1;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 1, 37, JET BLACK";;L2A37ST1;;0;0;0;0;0;0;0;0;;0
;;L2AZ37ST1;;0;0;0;0;0;0;2;0;;2
"LADIES STRAPPY 1, 37/38, JET BLACK";;SJ2A03ST1;;0;0;0;0;0;0;0;3;;3
"LADIES STRAPPY 1, 38, JET BLACK";;L2A38ST1;;0;0;0;0;0;0;0;0;;0
;;L2AZ38ST1;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 1, 39, JET BLACK";;L2A39ST1;;0;0;0;0;0;0;0;0;;0
;;L2AZ39ST1;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 1, 39/40, JET BLACK";;SJ2A04ST1;;0;0;0;0;0;0;0;4;;4
"LADIES STRAPPY 1, 40, JET BLACK";;L2A40ST1;;0;0;0;0;0;0;0;0;;0
;;L2AZ40ST1;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 2, 35/36, BLACK RASPBERRY";;SJ2A02ST2;;0;0;0;0;0;0;0;1;;1
"LADIES STRAPPY 2, 37/38, BLACK RASPBERRY";;SJ2A03ST2;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 2, 39/40, BLACK RASPBERRY";;SJ2A04ST2;;0;0;0;0;0;0;0;3;;3
"LADIES STRAPPY 3, 35/36, SILVER NAVY";;SJ2A02ST3;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 3, 36, SILVER NAVY";;L2AZ36ST3;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 3, 37, SILVER NAVY";;L2AZ37ST3;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 3, 37/38, SILVER NAVY";;SJ2A03ST3;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 3, 38, SILVER NAVY";;L2AZ38ST3;;0;0;0;0;0;0;1;1;;2
"LADIES STRAPPY 3, 39, SILVER NAVY";;L2AZ39ST3;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 3, 39/40, SILVER NAVY";;SJ2A04ST3;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 3, 40, SILVER NAVY";;L2AZ40ST3;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 4, 35/36, SILVER DEEP CORAL";;SJ2A02ST4;;0;0;0;0;0;0;0;7;;7
"LADIES STRAPPY 4, 37/38, SILVER DEEP CORAL";;SJ2A03ST4;;0;0;0;0;0;0;0;7;;7
"LADIES STRAPPY 4, 39/40, SILVER DEEP CORAL";;SJ2A04ST4;;0;0;0;0;0;0;0;8;;8
"LADIES STRAPPY 5, 35/36, GOLD BLACK";;SJ2A02ST5;;0;0;0;0;0;0;0;1;;1
"LADIES STRAPPY 5, 36, GOLD BLACK";;L2A36ST5;;0;0;0;0;0;0;0;0;;0
;;L3ST05Z36;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 5, 37, GOLD BLACK";;L2A37ST5;;0;0;0;0;0;0;0;1;;1
;;L3ST05Z37;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 5, 37/38, GOLD BLACK";;SJ2A03ST5;;0;0;0;0;0;0;0;3;;3
"LADIES STRAPPY 5, 38, GOLD BLACK";;L2A38ST5;;0;0;0;0;0;0;0;1;;1
;;L3ST05Z38;;0;0;0;0;0;0;0;6;;6
"LADIES STRAPPY 5, 39, GOLD BLACK";;L2A39ST5;;0;0;0;0;0;0;0;1;;1
;;L3ST05Z39;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 5, 39/40, GOLD BLACK";;SJ2A04ST5;;0;0;0;0;0;0;0;1;;1
"LADIES STRAPPY 5, 40, GOLD BLACK";;L2A40ST5;;0;0;0;0;0;0;0;0;;0
;;L3ST05Z40;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 6, 35/36, GOLD CREAM";;SJ2A02ST6;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 6, 36, GOLD CREAM";;L1ST06Z36;;0;0;0;0;0;0;0;0;;0
;;L2A36ST6;;0;0;0;0;0;0;0;0;;0
;;L2AZ36ST6;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 6, 37, GOLD CREAM";;L1ST06Z37;;0;0;0;0;0;0;1;1;;2
;;L2A37ST6;;0;0;0;0;0;0;0;0;;0
;;L2AZ37ST6;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 6, 37/38, GOLD CREAM";;SJ2A03ST6;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 6, 38, GOLD CREAM";;L1ST06Z38;;0;0;0;0;0;0;0;4;;4
;;L2A38ST6;;0;0;0;0;0;0;0;0;;0
;;L2AZ38ST6;;0;0;0;0;0;0;0;1;;1
"LADIES STRAPPY 6, 39, GOLD CREAM";;L1ST06Z39;;0;0;0;0;0;0;0;1;;1
;;L2A39ST6;;0;0;0;0;0;0;0;0;;0
;;L2AZ39ST6;;0;0;0;0;0;0;0;1;;1
"LADIES STRAPPY 6, 39/40, GOLD CREAM";;SJ2A04ST6;;0;0;0;0;0;0;0;0;;0
"LADIES STRAPPY 6, 40, GOLD CREAM";;L1ST06Z40;;0;0;0;0;0;0;0;1;;1
;;L2A40ST6;;0;0;0;0;0;0;0;0;;0
;;L2AZ40ST6;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 1, 35/36, GINGER NECTAR0AQUA";;SJ2A02SP1;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 1, 36, GINGER NECTAR0AQUA";;SJ2A36SP1;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 1, 37/38, GINGER NECTAR0AQUA";;SJ2A03SP1;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 1, 39, GINGER NECTAR0AQUA";;SJ2A39SP1;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 1, 39/40, GINGER NECTAR0AQUA";;SJ2A04SP1;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 1, 40, GINGER NECTAR0AQUA";;SJ2A40SP1;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 1, 41, GINGER NECTAR0AQUA";;SJ2A41SP1;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 1, 41/42, GINGER NECTAR0AQUA";;SJ2A05SP1;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 10, 35/36, LIGHT ROSE0WHITE";;SJ2A02SP10;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 10, 37/38, LIGHT ROSE0WHITE";;SJ2A03SP10;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 10, 39/40, LIGHT ROSE0WHITE";;SJ2A04SP10;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 10, 41/42, LIGHT ROSE0WHITE";;SJ2A05SP10;;0;0;0;0;0;0;0;2;;2
"LADIES STRIPE 11, 35/36, MUJITO0ORANGE";;SJ2A02SP11;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 11, 37/38, MUJITO0ORANGE";;SJ2A03SP11;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 11, 39/40, MUJITO0ORANGE";;SJ2A04SP11;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 11, 41/42, MUJITO0ORANGE";;SJ2A05SP11;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 12, 35/36, BLACK0PINK WHITE";;SJ2A02SP12;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 12, 37/38, BLACK0PINK WHITE";;SJ2A03SP12;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 12, 39/40, BLACK0PINK WHITE";;SJ2A04SP12;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 12, 41/42, BLACK0PINK WHITE";;SJ2A05SP12;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 2, 35/36, BLACK GRAY0PINK";;SJ2A02SP2;;0;0;0;0;0;0;0;2;;2
"LADIES STRIPE 2, 37/38, BLACK GRAY0PINK";;SJ2A03SP2;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 2, 39/40, BLACK GRAY0PINK";;SJ2A04SP2;;0;0;0;0;0;0;1;2;;3
"LADIES STRIPE 2, 40, BLACK GRAY0PINK";;SJ2A40SP2;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 2, 41/42, BLACK GRAY0PINK";;SJ2A05SP2;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 3, 35/36, TWILIGHT PINK0BLUE";;SJ2A02SP3;;0;0;0;0;0;0;0;2;;2
"LADIES STRIPE 3, 36, TWILIGHT PINK0BLUE";;SJ2A36SP3;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 3, 37, TWILIGHT PINK0BLUE";;SJ2A37SP3;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 3, 37/38, TWILIGHT PINK0BLUE";;SJ2A03SP3;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 3, 38, TWILIGHT PINK0BLUE";;SJ2A38SP3;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 3, 39, TWILIGHT PINK0BLUE";;SJ2A39SP3;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 3, 39/40, TWILIGHT PINK0BLUE";;SJ2A04SP3;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 3, 40, TWILIGHT PINK0BLUE";;SJ2A40SP3;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 3, 41/42, TWILIGHT PINK0BLUE";;SJ2A05SP3;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 4, 36, SAND BROWN0ORANGE";;SJ2A36SP4;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 4, 37, SAND BROWN0ORANGE";;SJ2A37SP4;;0;0;0;0;0;0;0;4;;4
"LADIES STRIPE 4, 37/38, SAND BROWN0ORANGE";;SJ2A03SP4;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 4, 38, SAND BROWN0ORANGE";;SJ2A38SP4;;0;0;0;0;0;0;0;16;;16
"LADIES STRIPE 4, 39, SAND BROWN0ORANGE";;SJ2A39SP4;;0;0;0;0;0;0;0;10;;10
"LADIES STRIPE 4, 39/40, SAND BROWN0ORANGE";;SJ2A04SP4;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 4, 40, SAND BROWN0ORANGE";;SJ2A40SP4;;0;0;0;0;0;0;0;2;;2
"LADIES STRIPE 4, 41, SAND BROWN0ORANGE";;SJ2A41SP4;;0;0;0;0;0;0;0;7;;7
"LADIES STRIPE 4, 41/42, SAND BROWN0ORANGE";;SJ2A05SP4;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 5, 35/36, WHITE NECTAR0BLUE";;SJ2A02SP5;;0;0;0;0;0;0;0;27;;27
"LADIES STRIPE 5, 36, WHITE NECTAR0BLUE";;SJ2A36SP5;;0;0;0;0;0;0;0;3;;3
"LADIES STRIPE 5, 37, WHITE NECTAR0BLUE";;SJ2A37SP5;;0;0;0;0;0;0;0;7;;7
"LADIES STRIPE 5, 37/38, WHITE NECTAR0BLUE";;SJ2A03SP5;;0;0;0;0;0;0;0;8;;8
"LADIES STRIPE 5, 38, WHITE NECTAR0BLUE";;SJ2A38SP5;;0;0;0;0;0;0;0;17;;17
"LADIES STRIPE 5, 39, WHITE NECTAR0BLUE";;SJ2A39SP5;;0;0;0;0;0;0;0;21;;21
"LADIES STRIPE 5, 39/40, WHITE NECTAR0BLUE";;SJ2A04SP5;;0;0;0;0;0;0;0;39;;39
"LADIES STRIPE 5, 40, WHITE NECTAR0BLUE";;SJ2A40SP5;;0;0;0;0;0;0;0;22;;22
"LADIES STRIPE 5, 41, WHITE NECTAR0BLUE";;SJ2A41SP5;;0;0;0;0;0;0;0;12;;12
"LADIES STRIPE 5, 41/42, WHITE NECTAR0BLUE";;SJ2A05SP5;;0;0;0;0;0;0;0;63;;63
"LADIES STRIPE 6, 35/36, CARNATION BLUE0YELLOW";;SJ2A02SP6;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 6, 37, CARNATION BLUE0YELLOW";;SJ2A37SP6;;0;0;0;0;0;0;7;0;;7
"LADIES STRIPE 6, 37/38, CARNATION BLUE0YELLOW";;SJ2A03SP6;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 6, 38, CARNATION BLUE0YELLOW";;SJ2A38SP6;;0;0;0;0;0;0;7;10;;17
"LADIES STRIPE 6, 39, CARNATION BLUE0YELLOW";;SJ2A39SP6;;0;0;0;0;0;0;0;13;;13
"LADIES STRIPE 6, 39/40, CARNATION BLUE0YELLOW";;SJ2A04SP6;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 6, 40, CARNATION BLUE0YELLOW";;SJ2A40SP6;;0;0;0;0;0;0;2;13;;15
"LADIES STRIPE 6, 41, CARNATION BLUE0YELLOW";;SJ2A41SP6;;0;0;0;0;0;0;0;8;;8
"LADIES STRIPE 6, 41/42, CARNATION BLUE0YELLOW";;SJ2A05SP6;;0;0;0;0;0;0;0;2;;2
"LADIES STRIPE 7, 35/36, BLACK FUSCHIA0YELLOW";;SJ2A02SP7;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 7, 37/38, BLACK FUSCHIA0YELLOW";;SJ2A03SP7;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 7, 39/40, BLACK FUSCHIA0YELLOW";;SJ2A04SP7;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 7, 41/42, BLACK FUSCHIA0YELLOW";;SJ2A05SP7;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 8, 35/36, GRAY PURPLE0FUSCHIA";;SJ2A02SP8;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 8, 37/38, GRAY PURPLE0FUSCHIA";;SJ2A03SP8;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 8, 39/40, GRAY PURPLE0FUSCHIA";;SJ2A04SP8;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 8, 41/42, GRAY PURPLE0FUSCHIA";;SJ2A05SP8;;0;0;0;0;0;0;0;1;;1
"LADIES STRIPE 9, 35/36, CARNATION BLUE0YELLOW";;SJ2A02SP9;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 9, 37/38, CARNATION BLUE0YELLOW";;SJ2A03SP9;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 9, 38, CARNATION BLUE1YELLOW";;SJ2A38SP9;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 9, 39/40, CARNATION BLUE0YELLOW";;SJ2A04SP9;;0;0;0;0;0;0;0;2;;2
"LADIES STRIPE 9, 40, CARNATION BLUE2YELLOW";;SJ2A40SP9;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 9, 41, CARNATION BLUEYELLOW";;SJ2A41SP9;;0;0;0;0;0;0;0;0;;0
"LADIES STRIPE 9, 41/42, CARNATION BLUE0YELLOW";;SJ2A05SP9;;0;0;0;0;0;0;0;1;;1
"LADIES SUMMER 1, 35/36, BLACK";;L2SM01Z35;;0;0;0;0;0;0;0;0;;0
"LADIES SUMMER 1, 37/38, BLACK";;L2SM01Z37;;0;0;0;0;0;0;0;0;;0
"LADIES SUMMER 1, 39/40, BLACK";;L2SM01Z39;;0;0;0;0;0;0;0;0;;0
"LADIES SUMMER 1, 41/42, BLACK";;L2SM01Z41;;0;0;0;0;0;0;0;0;;0
"LADIES SUMMER 10, 35/36, FLORAL NAVY";;L2SMV310Z36;;0;0;0;0;0;0;0;0;;0
"LADIES SUMMER 10, 37/38, FLORAL NAVY";;L2SMV310Z38;;0;0;0;0;0;0;0;7;;7
"LADIES SUMMER 10, 39/40, FLORAL NAVY";;L2SMV310Z40;;0;0;0;0;0;0;0;1;;1
"LADIES SUMMER 10, 41/42, FLORAL NAVY";;L2SMV310Z42;;0;0;0;0;0;0;0;0;;0
"LADIES SUMMER 11, 35/36, AQUA HAZE";;L2SMV311Z36;;0;0;0;0;0;0;0;1;;1
"LADIES SUMMER 11, 37/38, AQUA HAZE";;L2SMV311Z38;;0;0;0;0;0;0;0;0;;0
"LADIES SUMMER 11, 39/40, AQUA HAZE";;L2SMV311Z40;;0;0;0;0;0;0;0;1;;1
"LADIES SUMMER 11, 41/42, AQUA HAZE";;L2SMV311Z42;;0;0;0;0;0;0;0;1;;1
"LADIES SUMMER 12, 35/36, BRIDAL BLUSH";;L2SMV312Z36;;0;0;0;0;0;0;0;0;;0
"LADIES SUMMER 12, 37/38, BRIDAL BLUSH";;L2SMV312Z38;;0;0;0;0;0;0;0;1;;1
"LADIES SUMMER 12, 39/40, BRIDAL BLUSH";;L2SMV312Z40;;0;0;0;0;0;0;0;1;;1
"LADIES SUMMER 12, 41/42, BRIDAL BLUSH";;L2SMV312Z42;;0;0;0;0;0;0;0;0;;0
"LADIES SUMMER 13, 35/36, OCEAN NAVY";;L2SMV413Z36;;62;8;0;0;0;0;0;0;;70
"LADIES SUMMER 13, 37/38, OCEAN NAVY";;L2SMV413Z38;;124;129;0;0;0;0;0;0;;253
"LADIES SUMMER 13, 39/40, OCEAN NAVY";;L2SMV413Z40;;124;142;0;0;0;0;0;0;;266
"LADIES SUMMER 13, 41/42, OCEAN NAVY";;L2SMV413Z42;;62;16;0;0;0;0;0;0;;78
"LADIES SUMMER 14, 35/36, UBUD GREEN";;L2SMV414Z36;;58;12;0;0;0;4;0;0;;74
"LADIES SUMMER 14, 37/38, UBUD GREEN";;L2SMV414Z38;;116;104;0;0;0;8;0;0;;228
"LADIES SUMMER 14, 39/40, UBUD GREEN";;L2SMV414Z40;;116;125;0;0;0;8;0;0;;249
"LADIES SUMMER 14, 41/42, UBUD GREEN";;L2SMV414Z42;;58;17;0;0;0;4;0;0;;79
"LADIES SUMMER 15, 35/36, KAMBOJA OLIVE";;L2SMV415Z36;;348;4;0;0;0;0;0;0;;352
"LADIES SUMMER 15, 37/38, KAMBOJA OLIVE";;L2SMV415Z38;;96;128;0;0;0;0;0;0;;224
"LADIES SUMMER 15, 39/40, KAMBOJA OLIVE";;L2SMV415Z40;;96;120;0;0;0;0;0;0;;216
"LADIES SUMMER 15, 41/42, KAMBOJA OLIVE";;L2SMV415Z42;;348;34;0;0;0;0;0;0;;382
"LADIES SUMMER 16, 35/36, BEACH SAND";;L2SMV416Z36;;486;-37;0;0;0;0;0;0;;449
"LADIES SUMMER 16, 37/38, BEACH SAND";;L2SMV416Z38;;396;-40;0;0;0;0;0;0;;356
