;;CV. UNTUNG BESAR BERSAMA;;;;;;;;
;;Kuantitas Barang per Gudang;;;;;;;;
;;Per Tgl. 19 Jan 2026;;;;;;;;
;;"Cabang : [Semua Cabang], Gudang : Warehouse Jakarta, Warehouse Pusat, Warehouse Bali Gatsu-Box, Warehouse Bali Gatsu-Protol,  ...";;;;;;;;
Nama Barang;;;Kode Barang;Warehouse Bali Gatsu-Box;Warehouse Bali Gatsu-Protol;Warehouse Jakarta;Warehouse Pusat;Warehouse Pusat Reject;Total Nama Gudang;
"JUNIOR CLASSIC 4, 37, ARMY";;;J1CA04Z37;"9,";"0,";"0,";"0,";"0,";"9,";
"JUNIOR CLASSIC 4, 38, ARMY";;;J1CA04Z38;"9,";"0,";"0,";"0,";"0,";"9,";
"LADIES CLASSIC  METALIC 1, 36, BLACK0GOLD";;;L1CMV101Z36;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC  METALIC 1, 37, BLACK0GOLD";;;L1CM01Z37;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CMV101Z37;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC  METALIC 1, 38, BLACK0GOLD";;;L1CMV101Z38;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC  METALIC 1, 39, BLACK0GOLD";;;L1CM01Z39;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CMV101Z39;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC  METALIC 1, 40, BLACK0GOLD";;;L1CMV101Z40;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC  METALIC 1, 41, BLACK0GOLD";;;L1CMV101Z41;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 1, 36, JET BLACK";;;L1CAV201Z36;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 1, 37, JET BLACK";;;L1CAV201Z37;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 1, 38, JET BLACK";;;L1CAV201Z38;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 1, 39, JET BLACK";;;L1CAV201Z39;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 1, 40, JET BLACK";;;L1CAV201Z40;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 1, 41, JET BLACK";;;L1CAV201Z41;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 22, 36, NAVY NAVY";;;L1CA22Z36;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV122Z36;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV222Z36;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 22, 37, NAVY NAVY";;;L1CA22Z37;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV122Z37;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV222Z37;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 22, 38, NAVY NAVY";;;L1CA22Z38;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV122Z38;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV222Z38;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 22, 39, NAVY NAVY";;;L1CA22Z39;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV122Z39;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV222Z39;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 22, 40, NAVY NAVY";;;L1CA22Z40;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV122Z40;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV222Z40;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 22, 41, NAVY NAVY";;;L1CA22Z41;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV122Z41;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV222Z41;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 23, 36, NAVY GREY";;;L1CA23Z36;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV223Z36;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 23, 37, NAVY GREY";;;L1CA23Z37;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV223Z37;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 23, 38, NAVY GREY";;;L1CA23Z38;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV223Z38;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 23, 39, NAVY GREY";;;L1CA23Z39;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV223Z39;"0,";"0,";"0,";"0,";"0,";"0,";
"LADIES CLASSIC 23, 40, NAVY GREY";;;L1CA23Z40;"0,";"0,";"0,";"0,";"0,";"0,";
;;;L1CAV223Z40;"0,";"0,";"0,";"0,";"0,";"0,";
