DATABASE KODE SKU,,3,4,5,6,7,8,9,10,11
,,,,,,,,,,
Kode Variant(*),Kode(*),Japit Fashion,Nama Barang,Nama Variant(*),Ukuran(*),Tier,Gender,Seri,Series,Version
Z1MF03Z23,Z1MF03,Jepit,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,"BABY BOYS COLLAB 3, 23, DISNEY MICKEY & FRIENDS BROWN",23,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BB1CL03Z23,BB1CL03,Jepit,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,"BABY BOYS COLLAB 3, 23, DISNEY MICKEY & FRIENDS BROWN",23,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
Z1MF03Z24,Z1MF03,Jepit,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,"BABY BOYS COLLAB 3, 24, DISNEY MICKEY & FRIENDS BROWN",24,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BB1CL03Z24,BB1CL03,Jepit,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,"BABY BOYS COLLAB 3, 24, DISNEY MICKEY & FRIENDS BROWN",24,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BB1CL03Z25,BB1CL03,Jepit,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,"BABY BOYS COLLAB 3, 25, DISNEY MICKEY & FRIENDS BROWN",25,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
Z1MF03Z25,Z1MF03,Jepit,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,"BABY BOYS COLLAB 3, 25, DISNEY MICKEY & FRIENDS BROWN",25,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BGCO2B0HKP01,BGCO2B-HKP,Jepit,BABY COLLAB GIRLS ZUMA X HELKITY PINK,"BABY COLLAB GIRLS ZUMA X HELKITY, 21/22, PINK",21/22,0,BABY,HELLOKITTY,HELLOKITTY,V1
BGCO2B0HKP02,BGCO2B-HKP,Jepit,BABY COLLAB GIRLS ZUMA X HELKITY PINK,"BABY COLLAB GIRLS ZUMA X HELKITY, 23/24, PINK",23/24,0,BABY,HELLOKITTY,HELLOKITTY,V1
BGCO2B0HKP03,BGCO2B-HKP,Jepit,BABY COLLAB GIRLS ZUMA X HELKITY PINK,"BABY COLLAB GIRLS ZUMA X HELKITY, 25/26, PINK",25/26,0,BABY,HELLOKITTY,HELLOKITTY,V1
BGCO2B0HKT01,BGCO2B-HKT,Jepit,BABY COLLAB GIRLS ZUMA X HELKITY TOSCA,"BABY COLLAB GIRLS ZUMA X HELKITY, 21/22, TOSCA",21/22,0,BABY,HELLOKITTY,HELLOKITTY,V1
BGCO2B0HKT02,BGCO2B-HKT,Jepit,BABY COLLAB GIRLS ZUMA X HELKITY TOSCA,"BABY COLLAB GIRLS ZUMA X HELKITY, 23/24, TOSCA",23/24,0,BABY,HELLOKITTY,HELLOKITTY,V1
BGCO2B0HKT03,BGCO2B-HKT,Jepit,BABY COLLAB GIRLS ZUMA X HELKITY TOSCA,"BABY COLLAB GIRLS ZUMA X HELKITY, 25/26, TOSCA",25/26,0,BABY,HELLOKITTY,HELLOKITTY,V1
SJ1B03DO1,SJ1BDO1,Jepit,BABY DORAEMON 1 ZUMA X DORAEMON BLUE,"BABY DORAEMON 1, 21/22, ZUMA X DORAEMON BLUE",21/22,0,BABY,DORAEMON,DORAEMON,V1
SJ1B04DO1,SJ1BDO1,Jepit,BABY DORAEMON 1 ZUMA X DORAEMON BLUE,"BABY DORAEMON 1, 23/24, ZUMA X DORAEMON BLUE",23/24,0,BABY,DORAEMON,DORAEMON,V1
SJ1B05DO1,SJ1BDO1,Jepit,BABY DORAEMON 1 ZUMA X DORAEMON BLUE,"BABY DORAEMON 1, 25/26, ZUMA X DORAEMON BLUE",25/26,0,BABY,DORAEMON,DORAEMON,V1
Z2CA03Z21,Z2CA03,Jepit,BABY GIRLS CLASSIC 3 CANDY PINK,"BABY GIRLS CLASSIC 3, 21/22, CANDY PINK",21/22,2,BABY,CLASSIC,CLASSIC,V1
BG2CA03Z21,BG2CA03,Jepit,BABY GIRLS CLASSIC 3 PASTEL LILAC,"BABY GIRLS CLASSIC 3, 21/22, PASTEL LILAC",21/22,2,BABY,CLASSIC,CLASSIC,V1
Z2CA03Z23,Z2CA03,Jepit,BABY GIRLS CLASSIC 3 CANDY PINK,"BABY GIRLS CLASSIC 3, 23/24, CANDY PINK",23/24,2,BABY,CLASSIC,CLASSIC,V1
BG2CA03Z23,BG2CA03,Jepit,BABY GIRLS CLASSIC 3 PASTEL LILAC,"BABY GIRLS CLASSIC 3, 23/24, PASTEL LILAC",23/24,2,BABY,CLASSIC,CLASSIC,V1
Z2CA03Z25,Z2CA03,Jepit,BABY GIRLS CLASSIC 3 CANDY PINK,"BABY GIRLS CLASSIC 3, 25/26, CANDY PINK",25/26,2,BABY,CLASSIC,CLASSIC,V1
BG2CA03Z25,BG2CA03,Jepit,BABY GIRLS CLASSIC 3 PASTEL LILAC,"BABY GIRLS CLASSIC 3, 25/26, PASTEL LILAC",25/26,2,BABY,CLASSIC,CLASSIC,V1
BG2CA04Z21,BG2CA04,Jepit,BABY GIRLS CLASSIC 4 CANDY PINK,"BABY GIRLS CLASSIC 4, 21/22, CANDY PINK",21/22,2,BABY,CLASSIC,CLASSIC,V1
BG2CA04Z23,BG2CA04,Jepit,BABY GIRLS CLASSIC 4 CANDY PINK,"BABY GIRLS CLASSIC 4, 23/24, CANDY PINK",23/24,2,BABY,CLASSIC,CLASSIC,V1
BG2CA04Z25,BG2CA04,Jepit,BABY GIRLS CLASSIC 4 CANDY PINK,"BABY GIRLS CLASSIC 4, 25/26, CANDY PINK",25/26,2,BABY,CLASSIC,CLASSIC,V1
Z1MF01Z21,Z1MF01,Jepit,BABY GIRLS COLLAB 1 DISNEY MICKEY & FRIENDS PINK,"BABY GIRLS COLLAB 1, 21, DISNEY MICKEY & FRIENDS PINK",21,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
SJ2B03CL1,SJ2BCL1,Fashion,BABY GIRLS COLLAB 1 DISNEY MINNIE PINK,"BABY GIRLS COLLAB 1, 21/22, DISNEY MINNIE PINK",21/22,4,BABY,MINNIE,MINNIE,V1
Z2GC01Z21,Z2GC01,Fashion,BABY GIRLS COLLAB 1 PINK,"BABY GIRLS COLLAB 1, 21/22, PINK",21/22,2,BABY,MINNIE,MINNIE,V1
Z1MF01Z22,Z1MF01,Jepit,BABY GIRLS COLLAB 1 DISNEY MICKEY & FRIENDS PINK,"BABY GIRLS COLLAB 1, 22, DISNEY MICKEY & FRIENDS PINK",22,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
Z1MF01Z23,Z1MF01,Jepit,BABY GIRLS COLLAB 1 DISNEY MICKEY & FRIENDS PINK,"BABY GIRLS COLLAB 1, 23, DISNEY MICKEY & FRIENDS PINK",23,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
SJ2B04CL1,SJ2BCL1,Fashion,BABY GIRLS COLLAB 1 DISNEY MINNIE PINK,"BABY GIRLS COLLAB 1, 23/24, DISNEY MINNIE PINK",23/24,4,BABY,MINNIE,MINNIE,V1
Z2GC01Z23,Z2GC01,Fashion,BABY GIRLS COLLAB 1 PINK,"BABY GIRLS COLLAB 1, 23/24, PINK",23/24,2,BABY,MINNIE,MINNIE,V1
Z1MF01Z24,Z1MF01,Jepit,BABY GIRLS COLLAB 1 DISNEY MICKEY & FRIENDS PINK,"BABY GIRLS COLLAB 1, 24, DISNEY MICKEY & FRIENDS PINK",24,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
Z1MF01Z25,Z1MF01,Jepit,BABY GIRLS COLLAB 1 DISNEY MICKEY & FRIENDS PINK,"BABY GIRLS COLLAB 1, 25, DISNEY MICKEY & FRIENDS PINK",25,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
SJ2B05CL1,SJ2BCL1,Fashion,BABY GIRLS COLLAB 1 DISNEY MINNIE PINK,"BABY GIRLS COLLAB 1, 25/26, DISNEY MINNIE PINK",25/26,4,BABY,MINNIE,MINNIE,V1
Z2GC01Z25,Z2GC01,Fashion,BABY GIRLS COLLAB 1 PINK,"BABY GIRLS COLLAB 1, 25/26, PINK",25/26,2,BABY,MINNIE,MINNIE,V1
SJ2B03CL2,SJ2BCL2,Fashion,BABY GIRLS COLLAB 2 DISNEY MINNIE TURQUOISE,"BABY GIRLS COLLAB 2, 21/22, DISNEY MINNIE TURQUOISE",21/22,6,BABY,MINNIE,MINNIE,V1
SJ2B04CL2,SJ2BCL2,Fashion,BABY GIRLS COLLAB 2 DISNEY MINNIE TURQUOISE,"BABY GIRLS COLLAB 2, 23/24, DISNEY MINNIE TURQUOISE",23/24,6,BABY,MINNIE,MINNIE,V1
SJ2B05CL2,SJ2BCL2,Fashion,BABY GIRLS COLLAB 2 DISNEY MINNIE TURQUOISE,"BABY GIRLS COLLAB 2, 25/26, DISNEY MINNIE TURQUOISE",25/26,6,BABY,MINNIE,MINNIE,V1
BG1CL03Z21,BG1CL03,Jepit,BABY GIRLS COLLAB 3 DISNEY MICKEY & FRIENDS PINK,"BABY GIRLS COLLAB 3, 21, DISNEY MICKEY & FRIENDS PINK",21,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BG1CL03Z22,BG1CL03,Jepit,BABY GIRLS COLLAB 3 DISNEY MICKEY & FRIENDS PINK,"BABY GIRLS COLLAB 3, 22, DISNEY MICKEY & FRIENDS PINK",22,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BG1CL03Z23,BG1CL03,Jepit,BABY GIRLS COLLAB 3 DISNEY MICKEY & FRIENDS PINK,"BABY GIRLS COLLAB 3, 23, DISNEY MICKEY & FRIENDS PINK",23,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BG1CL03Z24,BG1CL03,Jepit,BABY GIRLS COLLAB 3 DISNEY MICKEY & FRIENDS PINK,"BABY GIRLS COLLAB 3, 24, DISNEY MICKEY & FRIENDS PINK",24,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BG1CL03Z25,BG1CL03,Jepit,BABY GIRLS COLLAB 3 DISNEY MICKEY & FRIENDS PINK,"BABY GIRLS COLLAB 3, 25, DISNEY MICKEY & FRIENDS PINK",25,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BB2BZ21HK1,BB2BZHK1,Jepit,BABY GIRLS HELLO KITTY 1 PINK,"BABY GIRLS HELLO KITTY 1, 21 , PINK",21,2,BABY,HELLOKITTY,HELLOKITTY,V1
BB2BZ22HK1,BB2BZHK1,Jepit,BABY GIRLS HELLO KITTY 1 PINK,"BABY GIRLS HELLO KITTY 1, 22 , PINK",22,2,BABY,HELLOKITTY,HELLOKITTY,V1
BB2BZ23HK1,BB2BZHK1,Jepit,BABY GIRLS HELLO KITTY 1 PINK,"BABY GIRLS HELLO KITTY 1, 23 , PINK",23,2,BABY,HELLOKITTY,HELLOKITTY,V1
BB2BZ24HK1,BB2BZHK1,Jepit,BABY GIRLS HELLO KITTY 1 PINK,"BABY GIRLS HELLO KITTY 1, 24 , PINK",24,2,BABY,HELLOKITTY,HELLOKITTY,V1
BB2BZ25HK1,BB2BZHK1,Jepit,BABY GIRLS HELLO KITTY 1 PINK,"BABY GIRLS HELLO KITTY 1, 25 , PINK",25,2,BABY,HELLOKITTY,HELLOKITTY,V1
BB2BZ21HK2,BB2BZHK2,Jepit,BABY GIRLS HELLO KITTY 2 TOSCA,"BABY GIRLS HELLO KITTY 2, 21 , TOSCA",21,6,BABY,HELLOKITTY,HELLOKITTY,V1
BB2BZ22HK2,BB2BZHK2,Jepit,BABY GIRLS HELLO KITTY 2 TOSCA,"BABY GIRLS HELLO KITTY 2, 22 , TOSCA",22,6,BABY,HELLOKITTY,HELLOKITTY,V1
BB2BZ23HK2,BB2BZHK2,Jepit,BABY GIRLS HELLO KITTY 2 TOSCA,"BABY GIRLS HELLO KITTY 2, 23 , TOSCA",23,6,BABY,HELLOKITTY,HELLOKITTY,V1
BB2BZ24HK2,BB2BZHK2,Jepit,BABY GIRLS HELLO KITTY 2 TOSCA,"BABY GIRLS HELLO KITTY 2, 24 , TOSCA",24,6,BABY,HELLOKITTY,HELLOKITTY,V1
BB2BZ25HK2,BB2BZHK2,Jepit,BABY GIRLS HELLO KITTY 2 TOSCA,"BABY GIRLS HELLO KITTY 2, 25 , TOSCA",25,6,BABY,HELLOKITTY,HELLOKITTY,V1
BB3BZ21CL3,BB3BZCL3,Jepit,BABY UNI COLLAB WBB 1 BLUE NAVY,"BABY UNI COLLAB WBB 1, 21, BLUE NAVY",21,2,BABY,WBB,WBB,V1
Z2WB01Z21,Z2WB01,Jepit,BABY UNI COLLAB WBB 1 BLUE NAVY,"BABY UNI COLLAB WBB 1, 21/22, BLUE NAVY",21/22,2,BABY,WBB,WBB,V1
BB3BZ22CL3,BB3BZCL3,Jepit,BABY UNI COLLAB WBB 1 BLUE NAVY,"BABY UNI COLLAB WBB 1, 22, BLUE NAVY",22,2,BABY,WBB,WBB,V1
BB3BZ23CL3,BB3BZCL3,Jepit,BABY UNI COLLAB WBB 1 BLUE NAVY,"BABY UNI COLLAB WBB 1, 23, BLUE NAVY",23,2,BABY,WBB,WBB,V1
Z2WB01Z23,Z2WB01,Jepit,BABY UNI COLLAB WBB 1 BLUE NAVY,"BABY UNI COLLAB WBB 1, 23/24, BLUE NAVY",23/24,2,BABY,WBB,WBB,V1
BB3BZ24CL3,BB3BZCL3,Jepit,BABY UNI COLLAB WBB 1 BLUE NAVY,"BABY UNI COLLAB WBB 1, 24, BLUE NAVY",24,2,BABY,WBB,WBB,V1
BB3BZ25CL3,BB3BZCL3,Jepit,BABY UNI COLLAB WBB 1 BLUE NAVY,"BABY UNI COLLAB WBB 1, 25, BLUE NAVY",25,2,BABY,WBB,WBB,V1
Z2WB01Z25,Z2WB01,Jepit,BABY UNI COLLAB WBB 1 BLUE NAVY,"BABY UNI COLLAB WBB 1, 25/26, BLUE NAVY",25/26,2,BABY,WBB,WBB,V1
Z2WB02Z21,Z2WB02,Jepit,BABY UNI COLLAB WBB 2 GREY NAVY,"BABY UNI COLLAB WBB 2, 21/22, GREY NAVY",21/22,2,BABY,WBB,WBB,V1
Z2WB02Z23,Z2WB02,Jepit,BABY UNI COLLAB WBB 2 GREY NAVY,"BABY UNI COLLAB WBB 2, 23/24, GREY NAVY",23/24,2,BABY,WBB,WBB,V1
Z2WB02Z25,Z2WB02,Jepit,BABY UNI COLLAB WBB 2 GREY NAVY,"BABY UNI COLLAB WBB 2, 25/26, GREY NAVY",25/26,2,BABY,WBB,WBB,V1
BB2BZ21CL1,BB2BZCL1,Fashion,BABY GIRLS COLLAB 1 PINK,"BABY GIRLS COLLAB 1, 21, PINK",21,2,BABY,MINNIE,MINNIE,V1
BB2BZ22CL1,BB2BZCL1,Fashion,BABY GIRLS COLLAB 1 PINK,"BABY GIRLS COLLAB 1, 22, PINK",22,2,BABY,MINNIE,MINNIE,V1
