;;CV MAKMUR BESAR BERSAMA;;;;;;;;
;;Kuantitas Barang per Gudang;;;;;;;;
;;Per Tgl. 19 Jan 2026;;;;;;;;
;;"Cabang : Kantor Pusat, Baby, Bali Area, Jakarta, Jawa Timur, Lombok NTT, NTT, Online, Papua, Gudang : Warehouse Jakarta, Ware ...";;;;;;;;
Nama Barang;;;Kode Barang;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protolan;Warehouse Jakarta;Warehouse Pusat;Warehouse Pusat Reject;Total Nama Gudang;
;;;Total Kode Barang;"-12,";"0,";"-6,";"0,";"0,";"-18,";
"BABY CLASSIC 9, 21/22, SAGE";;;Z2CA09Z22;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV109Z22;"-24,";"-4,";"-20,";"96,";"0,";"48,";
;;;Total Kode Barang;"-24,";"-4,";"-20,";"96,";"0,";"48,";
"BABY CLASSIC 9, 23/24, SAGE";;;Z2CA09Z24;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV109Z24;"-30,";"-5,";"-25,";"120,";"0,";"60,";
;;;Total Kode Barang;"-30,";"-5,";"-25,";"120,";"0,";"60,";
"BABY CLASSIC 9, 25/26, SAGE";;;Z2CA09Z26;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV109Z26;"-18,";"-3,";"-15,";"72,";"0,";"36,";
;;;Total Kode Barang;"-18,";"-3,";"-15,";"72,";"0,";"36,";
"BABY COCOMELON 1, 21/22, PINK";;;Z2CM01Z22;"0,";"0,";"-4,";"0,";"0,";"-4,";
;;;Total Kode Barang;"0,";"0,";"-4,";"0,";"0,";"-4,";
"BABY COCOMELON 1, 23/24, PINK";;;Z2CM01Z24;"0,";"0,";"-5,";"0,";"0,";"-5,";
;;;Total Kode Barang;"0,";"0,";"-5,";"0,";"0,";"-5,";
"BABY COCOMELON 1, 25/26, PINK";;;Z2CM01Z26;"0,";"0,";"-3,";"0,";"0,";"-3,";
;;;Total Kode Barang;"0,";"0,";"-3,";"0,";"0,";"-3,";
"BABY COCOMELON 2, 21/22, RED GREEN";;;Z2CM02Z22;"-24,";"-4,";"0,";"0,";"0,";"-28,";
;;;Total Kode Barang;"-24,";"-4,";"0,";"0,";"0,";"-28,";
"BABY COCOMELON 2, 23/24, RED GREEN";;;Z2CM02Z24;"-30,";"-5,";"0,";"0,";"0,";"-35,";
;;;Total Kode Barang;"-30,";"-5,";"0,";"0,";"0,";"-35,";
